iter	Passed	Remaining
921	6074	513
922	6081	507
923	6087	500
924	6094	494
925	6100	487
926	6106	480
927	6113	474
928	6119	467
929	6125	461
930	6132	454
931	6138	447
932	6144	441
933	6151	434
934	6157	428
935	6164	421
936	6170	414
937	6176	408
938	6183	401
939	6189	395
940	6195	388
941	6201	381
942	6207	375
943	6214	368
944	6220	362
945	6226	355
946	6232	348
947	6239	342
948	6245	335
949	6251	329
950	6258	322
951	6264	315
952	6271	309
953	6277	302
954	6283	296
955	6290	289
956	6296	282
957	6303	276
958	6309	269
959	6315	263
960	6322	256
961	6328	249
962	6334	243
963	6340	236
964	6347	230
965	6353	223
966	6359	217
967	6366	210
968	6372	203
969	6379	197
970	6385	190
971	6391	184
972	6398	177
973	6404	170
974	6411	164
975	6417	157
976	6423	151
977	6430	144
978	6436	138
979	6443	131
980	6450	124
981	6456	118
982	6462	111
983	6469	105
984	6475	98
985	6482	92
986	6488	85
987	6495	78
988	6501	72
989	6508	65
990	6514	59
991	6520	52
992	6527	46
993	6533	39
994	6540	32
995	6546	26
996	6553	19
997	6559	13
998	6566	6
999	6572	0
