cor, best_epoch, model, layer_num, hidden_chanel, word, category, city, pref, station, spot
0.80837,41,deeptour,3,512,True,True,True,False,True,False
0.81736,37,deeptour,3,512,True,True,True,False,True,False
0.82016,27,deeptour,3,512,True,False,False,False,False,False
0.81503,25,deeptour,3,512,True,False,False,False,False,False
0.81881,29,deeptour,3,512,True,False,False,False,False,False
0.82078,39,deeptour,3,512,True,False,True,False,False,False
0.81945,44,deeptour,3,512,True,False,True,False,False,False
0.81566,40,deeptour,3,512,True,False,True,False,False,False
0.80516,40,deeptour,3,512,True,False,True,False,False,50
0.80458,34,deeptour,3,512,True,False,True,False,False,100
0.80644,39,deeptour,3,512,True,False,True,False,False,200
0.80622,34,deeptour,3,512,True,False,True,False,False,500
0.72262,37,deeptour,3,256,True,False,True,False,False,100
0.72291,32,deeptour,3,256,True,False,True,False,False,100
0.76801,151,deeptour,1,16,True,False,True,False,False,100
0.76801,151,deeptour,1,16,True,False,True,False,False,100
0.76801,151,deeptour,1,16,True,False,True,False,False,100
0.77046,162,deeptour,1,32,True,False,True,False,False,100
0.77372,145,deeptour,1,32,True,False,True,False,False,100
0.77372,145,deeptour,1,32,True,False,True,False,False,100
0.78299,120,deeptour,1,64,True,False,True,False,False,100
0.7871,125,deeptour,1,64,True,False,True,False,False,100
0.7871,125,deeptour,1,64,True,False,True,False,False,100
0.79669,120,deeptour,1,128,True,False,True,False,False,100
0.79669,120,deeptour,1,128,True,False,True,False,False,100
0.79669,120,deeptour,1,128,True,False,True,False,False,100
0.80129,90,deeptour,1,256,True,False,True,False,False,100
0.80129,90,deeptour,1,256,True,False,True,False,False,100
0.80129,90,deeptour,1,256,True,False,True,False,False,100
0.8056,71,deeptour,1,512,True,False,True,False,False,100
0.8056,71,deeptour,1,512,True,False,True,False,False,100
0.8056,71,deeptour,1,512,True,False,True,False,False,100
0.8056,71,deeptour,1,1024,True,False,True,False,False,100
0.8056,71,deeptour,1,1024,True,False,True,False,False,100
0.8056,71,deeptour,1,1024,True,False,True,False,False,100
0.8056,71,deeptour,2,16,True,False,True,False,False,100
0.8056,71,deeptour,2,16,True,False,True,False,False,100
0.8056,71,deeptour,2,16,True,False,True,False,False,100
0.8056,71,deeptour,2,32,True,False,True,False,False,100
0.8056,71,deeptour,2,32,True,False,True,False,False,100
0.8056,71,deeptour,2,32,True,False,True,False,False,100
0.80563,133,deeptour,2,64,True,False,True,False,False,100
0.80563,133,deeptour,2,64,True,False,True,False,False,100
0.80563,133,deeptour,2,64,True,False,True,False,False,100
0.8063,69,deeptour,2,128,True,False,True,False,False,100
0.80818,97,deeptour,2,128,True,False,True,False,False,100
0.80818,97,deeptour,2,128,True,False,True,False,False,100
0.81073,53,deeptour,2,256,True,False,True,False,False,100
0.8124,50,deeptour,2,256,True,False,True,False,False,100
0.8124,50,deeptour,2,256,True,False,True,False,False,100
0.8124,50,deeptour,2,512,True,False,True,False,False,100
0.8124,50,deeptour,2,512,True,False,True,False,False,100
0.8124,50,deeptour,2,512,True,False,True,False,False,100
0.81733,34,deeptour,2,1024,True,False,True,False,False,100
0.81748,37,deeptour,2,1024,True,False,True,False,False,100
0.81748,37,deeptour,2,1024,True,False,True,False,False,100
0.81748,37,deeptour,3,16,True,False,True,False,False,100
0.81748,37,deeptour,3,16,True,False,True,False,False,100
0.81748,37,deeptour,3,16,True,False,True,False,False,100
0.81748,37,deeptour,3,32,True,False,True,False,False,100
0.81748,37,deeptour,3,32,True,False,True,False,False,100
0.81748,37,deeptour,3,32,True,False,True,False,False,100
0.81748,37,deeptour,3,64,True,False,True,False,False,100
0.81748,37,deeptour,3,64,True,False,True,False,False,100
0.81748,37,deeptour,3,64,True,False,True,False,False,100
0.81748,37,deeptour,3,128,True,False,True,False,False,100
0.81748,37,deeptour,3,128,True,False,True,False,False,100
0.81748,37,deeptour,3,128,True,False,True,False,False,100
0.81748,37,deeptour,3,256,True,False,True,False,False,100
0.81748,37,deeptour,3,256,True,False,True,False,False,100
0.81748,37,deeptour,3,256,True,False,True,False,False,100
0.81748,37,deeptour,3,512,True,False,True,False,False,100
0.81748,37,deeptour,3,512,True,False,True,False,False,100
0.81748,37,deeptour,3,512,True,False,True,False,False,100
0.81748,37,deeptour,3,1024,True,False,True,False,False,100
0.81748,37,deeptour,3,1024,True,False,True,False,False,100
0.81748,37,deeptour,3,1024,True,False,True,False,False,100
0.81748,37,deeptour,4,16,True,False,True,False,False,100
0.81748,37,deeptour,4,16,True,False,True,False,False,100
0.81748,37,deeptour,4,16,True,False,True,False,False,100
0.81748,37,deeptour,4,32,True,False,True,False,False,100
0.81748,37,deeptour,4,32,True,False,True,False,False,100
0.81748,37,deeptour,4,32,True,False,True,False,False,100
0.81748,37,deeptour,4,64,True,False,True,False,False,100
0.81748,37,deeptour,4,64,True,False,True,False,False,100
0.81748,37,deeptour,4,64,True,False,True,False,False,100
0.81748,37,deeptour,4,128,True,False,True,False,False,100
0.81748,37,deeptour,4,128,True,False,True,False,False,100
0.81748,37,deeptour,4,128,True,False,True,False,False,100
0.81748,37,deeptour,4,256,True,False,True,False,False,100
0.81748,37,deeptour,4,256,True,False,True,False,False,100
0.81748,37,deeptour,4,256,True,False,True,False,False,100
0.81748,37,deeptour,4,512,True,False,True,False,False,100
0.81748,37,deeptour,4,512,True,False,True,False,False,100
0.81748,37,deeptour,4,512,True,False,True,False,False,100
0.82217,42,deeptour,3,512,True,False,True,False,False,False
0.81508,43,deeptour,3,512,True,False,True,False,True,False
0.81894,72,deeptour,3,256,True,False,True,False,False,False
0.81247,73,deeptour,3,128,True,False,True,False,False,200
0.80763,73,deeptour,3,128,True,False,True,False,False,200
0.80763,73,deeptour,3,128,True,False,True,False,False,200
